,CO_CNES,NO_FANTASIA,MUNICIPIO
1,7652313,CAPS I AGUA BRANCA PB,AGUA BRANCA
2,,DIVISAO DE VIGILANCIA SANITARIA,AGUA BRANCA
3,2321769,UNIDADE DE SAUDE DA FAMILIA DE BOM JESUS,AGUA BRANCA
4,6917577,SAMU 192 AGUA BRANCA PB,AGUA BRANCA
5,3835200,USB JOSE LOUREDO DE SANTANA,AGUA BRANCA
6,7190425,FARMACIA BASICA DE AGUA BRANCA PB,AGUA BRANCA
7,2605430,HOSPITAL QUITERIA MARIA DE OLIVEIRA,AGUA BRANCA
8,7429746,UNIDADE DE SAUDE DA FAMILIA JOSE BENONE,AGUA BRANCA
9,7074654,NASF MODALIDADE 1 AGUA BRANCA PB,AGUA BRANCA
10,2321742,UNIDADE DE SAUDE DA FAMILIA DE LAGOINHA,AGUA BRANCA
11,9737359,CEO TIPO I AGUA BRANCA,AGUA BRANCA
12,9524983,LRPD AGUA BRANCA PB,AGUA BRANCA
13,2321777,UNIDADE DE SAUDE DA FAMILIA JOSE GOMES FILHO,AGUA BRANCA
14,7459785,CENTRAL DE REGULACAO DE AGUA BRANCA PB,AGUA BRANCA
15,6426166,SECRETARIA MUNICIPAL DE SAUDE,AGUA BRANCA
16,7160275,ACADEMIA DE SAUDE DE AGUA BRANCA PB,AGUA BRANCA
17,2322145,USF JOSE PAULINO DE SOUZA AGUIAR,AGUIAR
18,2322161,UNIDADE DE SAUDE DA FAMILIA PSF AGUIAR,AGUIAR
19,7907141,CENTRO DE ATENCAO PSICOSSOCIAL DE AGUIAR,AGUIAR
20,6828604,SERVICO DE ATENDIMENTO MOVEL DE URGENCIA SAMU 192,AGUIAR
21,7512945,POLO DE ACADEMIA DA SAUDE DE AGUIAR,AGUIAR
22,6407943,SECRETARIA MUNICIPAL DE SAUDE DE AGUIAR,AGUIAR
23,9466606,COORD DE VIGILANCIA SANITARIA AMBIENTAL E EPIDEMILOGICA,AGUIAR
24,9466614,FARMACIA DE ATENCAO BASICA DE AGUIAR PB,AGUIAR
25,9467238,LRPD DE AGUIAR,AGUIAR
26,2322153,HOSPITAL FRANCISCO BENTO CABRAL,AGUIAR
27,7485700,CENTRO DE ESPECIALIDADES ODONTOLOGICAS DE AGUIAR CEO,AGUIAR
28,5146178,POLICLINICA DE ALAGOA GRANDE,ALAGOA GRANDE
29,2606909,UBSF II CRUZEIRO,ALAGOA GRANDE
30,2606917,UBSF VII DR CLODOALDO TIGREIRO DE ALBUQUERQUE E MELO,ALAGOA GRANDE
31,6338089,SECRETARIA MUNICIPAL DE SAUDE DE ALAGOA GRANDE,ALAGOA GRANDE
32,3579484,UBSF V CANAFISTULA,ALAGOA GRANDE
33,5146372,VIGILANCIA EPIDEMIOLOGICADE ALAGOA GRANDE,ALAGOA GRANDE
34,6245897,CENTRO DE ESPECIALIDADES ODONTOLOGICAS DE ALAGOA GRANDE,ALAGOA GRANDE
35,3579530,UBSF I DR CLOVIS BARACUY,ALAGOA GRANDE
36,2606992,UBSF IX CAIANA DOS CRIOLOS,ALAGOA GRANDE
37,2607700,UBSF IV ZUMBI,ALAGOA GRANDE
38,5247853,UBSF XII JOAO BOSCO CARNEIRO,ALAGOA GRANDE
39,6969100,SAMU ALAGOA GRANDE PB,ALAGOA GRANDE
40,2341913,UBSF XI CENTRO,ALAGOA GRANDE
41,2606925,UBSF III CONJ VERA CRUZ,ALAGOA GRANDE
42,2606968,UBSF VI VILA SAO JOAO,ALAGOA GRANDE
43,3603598,UNIDADE DA VIGILANCIA SANITARIA,ALAGOA GRANDE
44,3793850,CENTRO DE ATENCAO PSICOSSOCIAL,ALAGOA GRANDE
45,2606976,UBSF VIII MARIA CRISTINA MEDEIROS SARMENTO,ALAGOA GRANDE
46,2607018,UBSF X TACHO,ALAGOA GRANDE
47,2592509,HOSPITAL MUNICIPAL MINISTRO OSVALDO TRIGUEIRO,ALAGOA GRANDE
48,6245889,NUCLEO DE APOIO A SAUDE DA FAMILIA,ALAGOA GRANDE
49,5076226,CENTRAL DE MARCACAO E REGULCAO DE ALAGOA GRANDE,ALAGOA GRANDE
50,7202202,LABORATORIO REGIONAL DE PROTESE DENTARIA DE ALAGOA GRANDE,ALAGOA GRANDE
51,7261314,SAMU II ALAGOA GRANDE,ALAGOA GRANDE
52,3562417,UBSF DR NELUSKO TORRES BANDEIRA,ALAGOA NOVA
53,3562247,UBSF ANTONIO CLEMENTINO DA SILVA,ALAGOA NOVA
54,3562212,UBSF JOSE NERI,ALAGOA NOVA
55,2591863,UNIDADE MISTA DE ALAGOA NOVA,ALAGOA NOVA
56,2342316,POSTO DE SAUDE ANCORA DE BOA VISTA,ALAGOA NOVA
57,2591847,UBSF ANITA FELICIANO DA COSTA,ALAGOA NOVA
58,9507124,POLICLINICA MUNICIPAL DE ALAGOA NOVA,ALAGOA NOVA
59,7568797,FARMACIA BASICA MUNICIPAL DE ALAGOA NOVA,ALAGOA NOVA
60,2591839,UBSF JOSEFA DELFINO DA CONCEICAO,ALAGOA NOVA
61,2591855,POSTO DE SAUDE ANCORA GAMELEIRA,ALAGOA NOVA
62,7545355,LABORATORIO MUNICIPAL DE ANALISE CLINICA DE ALAGOA NOVA,ALAGOA NOVA
63,6931863,CENTRO DE ESPECIALIDADES ODONTOLOGICAS,ALAGOA NOVA
64,6931936,SAMU DE ALAGOA NOVA,ALAGOA NOVA
65,6853021,NUCLEO DE APOIO A SAUDE DA FAMILIA,ALAGOA NOVA
66,6411762,SECRETARIA MUNICIPAL DE SAUDE,ALAGOA NOVA
67,3562220,UBSF MANOEL ELISEU,ALAGOA NOVA
68,3562441,UBSF ADALGISA DE OLIVEIRA CAVALCANTI,ALAGOA NOVA
69,3562204,UBSF JOAO MORAES,ALAGOA NOVA
70,6824056,LABORATORIO DE PROTESE DENTARIA,ALAGOA NOVA
71,9143378,VIGILANCIA SANITARIA DE ALAGOINHA,ALAGOINHA
72,6350607,UNIDADE DO PSF VI,ALAGOINHA
73,9124810,ACADEMIA DE SAUDE AVANI RODRIGUES DE OLIVEIRA,ALAGOINHA
74,9440801,LABORATORIO DE ANALISES CLINICAS DE ALAGOINHA,ALAGOINHA
75,2603780,UNIDADE DO PSF III,ALAGOINHA
76,2603764,MINI POSTO DE BARRO,ALAGOINHA
77,7560761,ACADEMIA DA SAUDE PAULO CABRAL DE CASTRO,ALAGOINHA
78,7633424,CENTRO DE ATENCAO PSICOSSOCIAL RISOLENY SILVA DOS SANTOS,ALAGOINHA
79,2603772,MINI POSTO DE MUMBUCA,ALAGOINHA
80,2607883,UNIDADE DO PSF II,ALAGOINHA
81,7679971,UNIDADE DO PSF VII,ALAGOINHA
82,9262539,FARMACIA BASICA DO MUNICIPIO DE ALAGOINHA,ALAGOINHA
83,2607867,UNIDADE DO PSF I,ALAGOINHA
84,3095576,UNIDADE DO PSF IV,ALAGOINHA
85,6925987,NUCLEO DE APOIO A SAUDE DA FAMILIA,ALAGOINHA
86,6350593,UNIDADE DO PSF V,ALAGOINHA
87,6915876,POSTO NOTURNO,ALAGOINHA
88,6480543,POLICLINICA,ALAGOINHA
89,6427375,SECRETARIA DE SAUDE DE ALAGOINHA,ALAGOINHA
90,7163746,SERVICO DE ATENDIMENTO MOVEL DE URGENCIA SAMU 192 ALAGOINHA,ALAGOINHA
91,6842739,LABORATORIO MUNICIPAL DE ANALISES CLINICA DE ALCANTIL,ALCANTIL
92,6842747,POLICLINICA MUNICIPAL DE ALCANTIL,ALCANTIL
93,2607107,UNIDADE BASICA DE SAUDE DA FAMILIA DE ALCANTIL PSF I,ALCANTIL
94,9794565,ACADEMIA DA SAUDE DE ALCANTIL,ALCANTIL
95,42544,SERVICO DE ATENCAO DOMICILIAR SAD,ALCANTIL
96,2613034,UNIDADE DE SAUDE DA FAMILIA JUCA PSF II,ALCANTIL
97,7594062,CAPS ALCANTIL,ALCANTIL
98,6420729,SECRETARIA MUNICIPAL DE SAUDE,ALCANTIL
99,7495781,UBSF DE BARRA DE AROEIRAS,ALCANTIL
100,7418124,NASF NUCLEO DE APOIO A SAUDE DA FAMILIA,ALCANTIL
101,7173431,SAMU 192 BASE DESCENTRALIZADA DE ALCANTIL,ALCANTIL
102,9663037,CENTRO DE ESPECIALIDADES ODONTOLOGICAS ALGODAO DE JANDAIRA,ALGODAO DE JANDAIRA
103,7525486,AMIGO DO PEITO ALGODAO DE JANDAIRA,ALGODAO DE JANDAIRA
104,6681301,LABORATORIO DE ANALISES CLINICAS TERESINHA A DO NASCIMENTO,ALGODAO DE JANDAIRA
105,2342340,UBSF BALBINA MARIA DA CONCEICAO,ALGODAO DE JANDAIRA
106,7210515,POSTO DE SAUDE DA SERRA,ALGODAO DE JANDAIRA
107,6363091,UNIDADE DE FISIOTERAPIA,ALGODAO DE JANDAIRA
108,7433395,UBS JOAO PAULINO DA SILVA,ALGODAO DE JANDAIRA
109,6427227,SECRETARIA MUNICIPAL DE SAUDE DE ALGODAO DE JANDAIRA,ALGODAO DE JANDAIRA
110,7405219,LABORATORIO DE PROTESE DENTARIA,ALGODAO DE JANDAIRA
111,2592754,UNIDADE DE SAUDE DA FAMILIA MATA REDONDA I,ALHANDRA
112,2612542,UNIDADE DE SAUDE DA FAMILIA SALGADINHO,ALHANDRA
113,7441975,POLICLINICA MUNICIPAL JOAQUINA FRANCISCA DO NASCIMENTO DON,ALHANDRA
114,6426530,SECRETARIA MUNICIPAL DE SAUDE,ALHANDRA
115,5666546,CAPS I,ALHANDRA
116,5978637,UNIDADE DE SAUDE DA FAMILIA OITEIRO II,ALHANDRA
117,7390270,ACADEMIA DA SAUDE DE MATA REDONDA,ALHANDRA
118,7390289,ACADEMIA DA SAUDE DE OITEIRO,ALHANDRA
119,6967523,UNIDADE MOVEL ODONTOLOGICA DE ALHANDRA,ALHANDRA
120,7036469,UNIDADE DE SAUDE DA FAMILIA CENTRO II,ALHANDRA
121,7067984,SERVICO DE ATENDIMENTO MOVEL EM URGENCIA AVANCADA ALHANDRA,ALHANDRA
122,3124851,UNIDADE DE SAUDE DA FAMILIA MATA REDONDA II,ALHANDRA
123,6995780,SERVICO DE ATENDIMENTO MOVEL EM URGENCIA SAMU DE ALHANDRA,ALHANDRA
124,7113528,CENTRO DE REABILITACAO MARIA CAVALCANTE DA SILVA DONA NENEN,ALHANDRA
125,9426310,POSTO ANCORA DE VIEIRA,ALHANDRA
126,2612534,UNIDADE DE SAUDE DA FAMILIA DO ACAIS,ALHANDRA
127,2612550,UNIDADE DE SAUDE DA FAMILIA NOVA ALHANDRA,ALHANDRA
128,2357658,HOSPITAL MUNICIPAL ALFREDO DE ALMEIDA FERREIRA,ALHANDRA
129,3158608,SINDICATO DOS TRABALHADORES RURAIS DE ALHANDRA,ALHANDRA
130,7441983,CEO JOAQUINA FRANCISCA DO NASCIMENTO DONA QUINA,ALHANDRA
131,7166702,NUCLEO DE APOIO A SAUDE DA FAMILIA NASF 1,ALHANDRA
132,2612569,CENTRO DE SAUDE DE ALHANDRA,ALHANDRA
133,9606955,POLO ACADEMIA DA SAUDE MARIA NINA DANTAS DONA NINA,SAO JOAO DO RIO DO PEIXE
134,9052070,LABORATORIO DE ANALISES CLINICAS CAPITAO JOAO DANTAS ROTHEA,SAO JOAO DO RIO DO PEIXE
135,2603705,USF ALDENIR MEIRELES DE ALMEIDA,SAO JOAO DO RIO DO PEIXE
136,2606062,USF BANDARRA,SAO JOAO DO RIO DO PEIXE
137,2606097,USF GRAVATA,SAO JOAO DO RIO DO PEIXE
138,9606947,POLO ACADEMIA DA SAUDE MARIA ESTRELA GOMES MARIA DE WILSON,SAO JOAO DO RIO DO PEIXE
139,6327621,NASF I NUCLEO DE APOIO A SAUDE DA FAMILIA,SAO JOAO DO RIO DO PEIXE
140,6366651,UNIDADE AUTORIZADORA DE TFD INTERMUNICIPAL,SAO JOAO DO RIO DO PEIXE
141,5816262,LABORATORIO DE PROTESES DENTARIA,SAO JOAO DO RIO DO PEIXE
142,6542557,USF GRUTA,SAO JOAO DO RIO DO PEIXE
143,3773981,USF ENGENHO NOVO,SAO JOAO DO RIO DO PEIXE
144,2603691,HOSPITAL MUNICIPAL CAPITAO JOAO DANTAS ROTHEA,SAO JOAO DO RIO DO PEIXE
145,9051716,POLICLINICA DR MARIO FORMIGA MACIEL,SAO JOAO DO RIO DO PEIXE
146,2606070,USF MARIA EDILANE MOURA DE CASTRO,SAO JOAO DO RIO DO PEIXE
147,2606089,USF JOSEFA FERREIRA DE ALMEIDA,SAO JOAO DO RIO DO PEIXE
148,2606100,USF JOAO FEITOSA DE AQUINO,SAO JOAO DO RIO DO PEIXE
149,9999280,EMAD II SAO JOAO DO RIO DO PEIXE,SAO JOAO DO RIO DO PEIXE
150,7711476,VIGILANCIA SANITARIA SJRP,SAO JOAO DO RIO DO PEIXE
151,5549884,CENTRO DE ESPECIALIDADES ODONTOLOGICAS CEO TIPO I,SAO JOAO DO RIO DO PEIXE
152,6284302,CENTRO DE ATENCAO PSICOSSOCIAL CAPS I,SAO JOAO DO RIO DO PEIXE
153,6615635,SERVICO DE ATENDIMENTO MOVEL DE URGENCIA SAMU 192,SAO JOAO DO RIO DO PEIXE
154,6399282,SECRETARIA MUNICIPAL DE SAUDE DE SAO JOAO DO RIO DO PEIXE,SAO JOAO DO RIO DO PEIXE
155,9147020,CEO CENTRO DE ESPECIALIDADES ODONTOLOGICAS DE AMPARO PB,AMPARO
156,6821669,CENTRO DE REABILITACAO SAO SEBASTIAO,AMPARO
157,7360835,NUCLEO DE ATENCAO A SAUDE DA FAMILIA NASF III,AMPARO
158,6168949,SECRETARIA MUNICIPAL DE SAUDE,AMPARO
159,7214243,UNIDADE ANCORA BASICA DE SAUDE RAIMUNDO ENEAS DA COSTA,AMPARO
160,7214464,UNIDADE ANCORA BASICA DE SAUDE FORMOZINO FRANCISCO DE ARAUJO,AMPARO
161,9621814,LABORATORIO DE ANALISES CLINICAS JOSEFA GUIMARAES DA COSTA,AMPARO
162,2363542,UNIDADE BASICA DE SAUDE FAMILIA DA FAMILIA SAO SEBASTIAO,AMPARO
163,7280440,VIGILANCIA SANITARIA,AMPARO
164,7929242,PSF IV DE APARECIDA,APARECIDA
165,2606119,POSTO DE SAUDE DE APARECIDA,APARECIDA
166,2357690,PSF II DE APARECIDA,APARECIDA
167,7500955,ACADEMIA DA SAUDE CHICA DE MANO,APARECIDA
168,4015029,PSF III DE APARECIDA,APARECIDA
169,7441924,CENTRO DE ESPECIALIDADES ODONTOLOGICAS IRACI TRAJANO,APARECIDA
170,6433928,SECRETARIA MUNICIPAL DE SAUDE,APARECIDA
171,2357313,PSF I DE APARECIDA,APARECIDA
